DecimalLong,DecimalLat
75.86388889,39.35919444
75.86388889,39.35919444
75.86388889,39.35919444
75.86388889,39.35919444
75.86388889,39.35919444
75.86388889,39.35919444
75.86388889,39.35919444
75.86388889,39.35919444
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05575,39.43166667
76.05113889,39.35811111
76.05113889,39.35811111
76.05113889,39.35811111
76.05113889,39.35811111
76.05113889,39.35811111
76.05113889,39.35811111
76.05113889,39.35811111
76.05113889,39.35811111
76.05113889,39.35811111
76.05113889,39.35811111
76.05113889,39.35811111
76.05113889,39.35811111
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
77.35147222,37.91677778
79.84805556,37.24977778
79.84805556,37.24977778
79.84805556,37.24977778
79.84805556,37.24977778
79.84805556,37.24977778
79.84805556,37.24977778
79.84805556,37.24977778
76.71391667,39.53861111
76.71391667,39.53861111
76.71391667,39.53861111
77.11283611,38.08618056
77.11283611,38.08618056
77.11283611,38.08618056
77.11283611,38.08618056
77.11283611,38.08618056
77.11283611,38.08618056
77.11283611,38.08618056
77.11283611,38.08618056
